AAD30508	AAD30508.1
ZP_00471249	ZP_00471249.1
ZP_01577127	ZP_01577127.1
ZP_01438569	ZP_01438569.1
YP_511005	YP_511005.1
BAB53192	BAB53192.1
ZP_00502320	ZP_00502320.1
ZP_00502381	ZP_00502381.1
ZP_00900417	ZP_00900417.1
YP_472663	YP_472663.1
ZP_01056409	ZP_01056409.1
CAC48779	CAC48779.1
ZP_01199940	ZP_01199940.1
EBH72800	EBH72800.1
EDC83230	EDC83230.1
ECV58360	ECV58360.1
EBH57905	EBH57905.1
EBM16636	EBM16636.1
EDE27295	EDE27295.1
EBO60441	EBO60441.1
EBK48460	EBK48460.1
YP_742007	YP_742007.1
NP_070416	NP_070416.1
YP_001002057	YP_001002057.1
ABH04879	ABH04879.1
YP_782588	YP_782588.1
YP_532057	YP_532057.1
YP_569369	YP_569369.1
CAE27610	CAE27610.1
YP_486834	YP_486834.1
ABC22798	ABC22798.1
EDE24211	EDE24211.1
EDE26668	EDE26668.1
ECW00733	ECW00733.1
EDG90708	EDG90708.1
AADL01000066	
AADL01000179	
BAB44150	BAB44150.1
ABB28892	ABB28892.1
AAK14332	AAK14332.1
ZP_00527577	ZP_00527577.1
AAM72993	AAM72993.1
ABB23300	ABB23300.1
ZP_00590598	ZP_00590598.1
ZP_00590874	ZP_00590874.1
YP_779361	YP_779361.1
YP_530146	YP_530146.1
YP_567601	YP_567601.1
CAE25706	CAE25706.1
YP_483922	YP_483922.1
ECV93956	ECV93956.1
AADL01000541	
AAP27976	AAP27976.1
NP_980397	NP_980397.1
AAP10955	AAP10955.1
AAU16474	AAU16474.1
BAD64310	BAD64310.1
AAU23062	AAU23062.1
AAU40416	AAU40416.1
CAB13232	CAB13232.2
AAT63718	AAT63718.1
ZP_00539172	ZP_00539172.1
BAD75238	BAD75238.1
